D4   target   293.67 | 1D   290.94 ( -16.1 c) | FEM   295.07 (  +8.3 c) | FEM-1D  +24.4 c | ne 7450
E4   target   329.63 | 1D   325.04 ( -24.3 c) | FEM   338.63 ( +46.7 c) | FEM-1D  +70.9 c | ne 7465
F#4  target   369.99 | 1D   364.84 ( -24.3 c) | FEM   371.13 (  +5.3 c) | FEM-1D  +29.6 c | ne 7639
G4   target   392.00 | 1D   387.43 ( -20.3 c) | FEM   390.77 (  -5.4 c) | FEM-1D  +14.8 c | ne 7682
A4   target   440.00 | 1D   438.48 (  -6.0 c) | FEM   455.16 ( +58.6 c) | FEM-1D  +64.6 c | ne 7705
B4   target   493.88 | 1D   492.13 (  -6.1 c) | FEM   507.05 ( +45.6 c) | FEM-1D  +51.7 c | ne 7768
C#5  target   554.37 | 1D   539.65 ( -46.6 c) | FEM   543.66 ( -33.8 c) | FEM-1D  +12.8 c | ne 7770
D5   target   587.33 | 1D   587.33 (  +0.0 c) | FEM   592.40 ( +14.9 c) | FEM-1D  +14.9 c | ne 7450
E5   target   659.25 | 1D   652.33 ( -18.3 c) | FEM   674.51 ( +39.6 c) | FEM-1D  +57.9 c | ne 7465
F#5  target   739.99 | 1D   728.84 ( -26.3 c) | FEM   741.09 (  +2.6 c) | FEM-1D  +28.9 c | ne 7639
G5   target   783.99 | 1D   775.75 ( -18.3 c) | FEM   782.24 (  -3.9 c) | FEM-1D  +14.4 c | ne 7682
A5   target   880.00 | 1D   867.74 ( -24.3 c) | FEM   898.06 ( +35.2 c) | FEM-1D  +59.5 c | ne 7705
B5   target   987.77 | 1D   971.76 ( -28.3 c) | FEM  1010.12 ( +38.7 c) | FEM-1D  +67.0 c | ne 7768
C#6  target  1108.73 | 1D  1055.61 ( -85.0 c) | FEM  1096.04 ( -19.9 c) | FEM-1D  +65.1 c | ne 7770
D6   target  1174.66 | 1D  1203.90 ( +42.6 c) | FEM  1222.78 ( +69.5 c) | FEM-1D  +26.9 c | ne 7450
saved -> /Users/paul/repos/foldflute/scripts/fem/../../reports/fem_gate_m2d_fem_geometry.json
